index,Rank,Twitter,Followers,Market Cap (ETH),MCap/Follower (ETH),Volume (ETH),Share Price (ETH),Share/Follower (ETH),Supply,Buys,Sells,Traders,Trades
800,798,_seacasa,21899,1.69,7.7e-05,1.76,0.06,3e-06,30,58,28.0,42,86
801,798,jyap,58472,1.69,2.9e-05,1.58,0.06,1e-06,30,52,22.0,26,57
802,798,fallforfud,5259,1.69,0.000321,2.96,0.06,1.1e-05,30,65,35.0,39,80
803,798,erithium,56935,1.69,3e-05,0.96,0.06,1e-06,30,38,8.0,8,42
804,798,mushmoonz,4118,1.69,0.00041,5.57,0.06,1.4e-05,30,73,43.0,46,99
805,798,buyingyourstops,1035492,1.69,2e-06,1.44,0.06,0.0,30,44,14.0,25,54
806,798,_anti_code_,4062,1.69,0.000415,12.02,0.06,1.4e-05,30,110,80.0,64,182
807,798,dapanji_eth,4757,1.69,0.000355,1.39,0.06,1.2e-05,30,53,23.0,29,68
808,798,0xJezza,8795,1.69,0.000192,5.62,0.06,6e-06,30,89,59.0,58,142
809,798,NullFUD,12461,1.69,0.000135,3.75,0.06,5e-06,30,61,31.0,44,91
810,798,optimizoor,843,1.69,0.002002,3.5,0.06,6.7e-05,30,67,37.0,46,83
811,798,deltaxbt,599,1.69,0.002817,8.15,0.06,9.4e-05,30,116,86.0,101,202
812,798,TheShamdoo,38064,1.69,4.4e-05,12.49,0.06,1e-06,30,129,99.0,99,228
813,798,DirtyStockPlays,10551,1.69,0.00016,2.08,0.06,5e-06,30,52,22.0,33,74
814,798,imdanielallan,1744,1.69,0.000968,1.57,0.06,3.2e-05,30,46,16.0,26,52
815,798,Parmie369,80091,1.69,2.1e-05,0.74,0.06,1e-06,30,38,8.0,10,42
816,798,0xEdgar,6455,1.69,0.000261,1.04,0.06,9e-06,30,37,7.0,22,44
817,798,UltraXBT,4017,1.69,0.00042,3.72,0.06,1.4e-05,30,118,88.0,80,192
818,798,6ix420,528,1.69,0.003196,0.95,0.06,0.000107,30,40,10.0,26,50
819,798,ebkwockiana,88874,1.69,1.9e-05,2.2,0.06,1e-06,30,52,22.0,31,66
820,798,0xvopa,3922,1.69,0.00043,5.25,0.06,1.4e-05,30,104,74.0,72,178
821,798,0xBasedBoy,20322,1.69,8.3e-05,1.79,0.06,3e-06,30,45,15.0,29,60
822,798,degentradingLSD,151625,1.69,1.1e-05,11.97,0.06,0.0,30,94,64.0,47,126
823,798,igorlenterman,5047,1.69,0.000334,10.33,0.06,1.1e-05,30,142,112.0,109,254
824,798,lingranli,151898,1.69,1.1e-05,2.04,0.06,0.0,30,59,29.0,36,78
825,798,godofthundereth,2743,1.69,0.000615,5.61,0.06,2.1e-05,30,61,31.0,44,92
826,798,HoneyChadette,2299,1.69,0.000734,0.97,0.06,2.4e-05,30,38,8.0,22,46
827,798,notbunjil,14653,1.69,0.000115,25.75,0.06,4e-06,30,176,146.0,70,306
828,798,Cryptogether_,4367,1.69,0.000386,1.65,0.06,1.3e-05,30,46,16.0,37,62
829,798,jonkodoteth,6532,1.69,0.000258,2.9,0.06,9e-06,30,64,34.0,47,98
830,798,racerinu,16512,1.69,0.000102,6.64,0.06,3e-06,30,116,86.0,68,187
832,798,bqbrady,9884,1.69,0.000171,0.71,0.06,6e-06,30,34,4.0,14,38
834,835,pacman_defence,48119,1.58,3.3e-05,0.62,0.05,1e-06,30,35,5.0,21,34
835,835,TyrogueD,3418,1.58,0.000461,0.95,0.05,1.5e-05,30,37,7.0,19,42
836,835,zolandinho,1597,1.58,0.000987,1.99,0.05,3.3e-05,30,51,21.0,28,66
837,835,fidelitas_lex,6559,1.58,0.00024,4.45,0.05,8e-06,30,82,52.0,51,102
838,835,DataB4Dishonor,10135,1.58,0.000156,1.18,0.05,5e-06,30,47,17.0,26,57
839,835,Legendary_NFT,1112,1.58,0.001418,2.81,0.05,4.7e-05,30,69,39.0,47,104
840,835,WestieCapital,23643,1.58,6.7e-05,2.51,0.05,2e-06,30,68,38.0,48,95
841,835,CaramelCoffee8,120316,1.58,1.3e-05,1.23,0.05,0.0,30,47,17.0,28,57
842,835,_Valopa,1914,1.58,0.000824,1.91,0.05,2.7e-05,30,76,46.0,60,122
843,835,Y33tDavidson,139602,1.58,1.1e-05,1.56,0.05,0.0,30,49,19.0,46,68
844,835,0x_Lucas,24320,1.58,6.5e-05,1.42,0.05,2e-06,30,59,29.0,32,60
845,835,NotSuitman,6855,1.58,0.00023,2.52,0.05,8e-06,30,56,26.0,36,74
846,835,KirbyLarp,4186,1.58,0.000377,4.05,0.05,1.3e-05,30,88,58.0,72,146
847,835,Barthazian,4597,1.58,0.000343,3.86,0.05,1.1e-05,30,87,57.0,71,144
848,835,dmihal,8106,1.58,0.000195,1.69,0.05,6e-06,30,59,29.0,35,66
849,835,libevm,2449,1.58,0.000644,2.37,0.05,2.1e-05,30,75,45.0,55,113
850,835,0xkinnif,262661,1.58,6e-06,2.3,0.05,0.0,30,66,36.0,30,93
851,835,cryptodan19,200283,1.58,8e-06,8.44,0.05,0.0,30,94,64.0,66,158
852,835,0xMert_,9637,1.58,0.000164,7.0,0.05,5e-06,30,86,56.0,58,118
854,855,petraincognita,70080,1.52,2.2e-05,1.29,0.05,1e-06,29,37,8.0,14,45
855,855,ExaltedFoks,10820,1.52,0.000141,3.86,0.05,5e-06,29,65,36.0,48,96
856,855,S4mmyEth,28916,1.52,5.3e-05,2.71,0.05,2e-06,29,73,44.0,50,111
857,855,0xFinish,77512,1.52,2e-05,1.86,0.05,1e-06,29,67,38.0,46,105
858,855,evabeylin,33079,1.52,4.6e-05,2.09,0.05,2e-06,29,71,42.0,46,101
859,855,penguin_curator,4096,1.52,0.000372,3.25,0.05,1.3e-05,29,76,47.0,53,101
860,855,0xHustlepedia,2130,1.52,0.000716,3.76,0.05,2.5e-05,29,68,39.0,40,69
861,855,surfcoderepeat,126981,1.52,1.2e-05,1.56,0.05,0.0,29,61,32.0,43,93
862,855,RikOostenbroek,2546,1.52,0.000599,6.44,0.05,2.1e-05,29,84,55.0,40,77
863,855,schizoxbt,17684,1.52,8.6e-05,3.51,0.05,3e-06,29,63,34.0,48,89
865,855,Galxe,7341,1.52,0.000208,15.46,0.05,7e-06,29,103,74.0,48,124
866,855,0xDaes,38044,1.52,4e-05,1.16,0.05,1e-06,29,38,9.0,30,47
867,855,cryptoendgamer,2058,1.52,0.000741,1.0,0.05,2.6e-05,29,38,9.0,24,41
869,855,nftsandkids,23514,1.52,6.5e-05,1.94,0.05,2e-06,29,56,27.0,33,66
870,855,DastardlyDaniel,155734,1.52,1e-05,2.44,0.05,0.0,29,56,27.0,27,69
871,855,_GvAll,118415,1.52,1.3e-05,2.05,0.05,0.0,29,50,21.0,44,71
872,855,EthereumTrump,1199,1.52,0.001271,3.27,0.05,4.4e-05,29,58,29.0,29,80
873,855,Artifaction2,11025,1.52,0.000138,6.89,0.05,5e-06,29,79,50.0,21,72
874,855,bitfloorsghost,50439,1.52,3e-05,1.08,0.05,1e-06,29,43,14.0,33,57
