index,Rank,Twitter,Followers,Market Cap (ETH),MCap/Follower (ETH),Volume (ETH),Share Price (ETH),Share/Follower (ETH),Supply,Buys,Sells,Traders,Trades
985,960,KinkyBedBugs,0,1.23,0.0,3.95,0.05,0.0,27,76,49.0,30,84
986,960,washieth,0,1.23,0.0,1.5,0.05,0.0,27,53,26.0,40,79
987,960,orangie,0,1.23,0.0,13.48,0.05,0.0,27,95,68.0,33,84
988,960,definalist,0,1.23,0.0,3.1,0.05,0.0,27,66,39.0,39,96
989,960,yellowbrah69,0,1.23,0.0,1.66,0.05,0.0,27,46,19.0,32,59
990,960,blader,0,1.23,0.0,3.02,0.05,0.0,27,87,60.0,71,146
991,960,tumilett,0,1.23,0.0,3.15,0.05,0.0,27,54,27.0,39,77
992,960,GotrillaGorilla,0,1.23,0.0,4.56,0.05,0.0,27,72,45.0,53,102
993,960,const_phoenixed,0,1.23,0.0,3.29,0.05,0.0,27,58,31.0,33,76
994,960,corleonescrypto,0,1.23,0.0,8.51,0.05,0.0,27,85,58.0,38,109
995,960,Base_Intern,0,1.23,0.0,1.61,0.05,0.0,27,46,19.0,30,57
996,960,eth_apple,0,1.23,0.0,4.72,0.05,0.0,27,78,51.0,35,83
997,998,FlossyP911,0,1.23,0.0,2.33,0.04,0.0,28,63,35.0,48,93
998,999,inhalingsummer,0,1.14,0.0,1.03,0.04,0.0,27,37,10.0,18,47
